Community,Category,Event Count,Year,Month
CORNERSTONE,Disorder,8,2019,8
CORNERSTONE,Disorder,4,2019,9
CORNERSTONE,Disorder,9,2019,10
CORNERSTONE,Disorder,7,2019,11
CORNERSTONE,Disorder,6,2019,12
CORNERSTONE,Disorder,6,2020,1
CORNERSTONE,Disorder,2,2020,2
CORNERSTONE,Disorder,9,2020,3
CORNERSTONE,Disorder,5,2020,4
CORNERSTONE,Disorder,7,2020,5
CORNERSTONE,Disorder,5,2020,6
CORNERSTONE,Disorder,12,2020,7
CORNERSTONE,Disorder,18,2020,8
CORNERSTONE,Disorder,11,2020,9
CORNERSTONE,Disorder,7,2020,10
CORNERSTONE,Disorder,8,2020,11
CORNERSTONE,Disorder,13,2020,12
CORNERSTONE,Disorder,7,2021,1
CORNERSTONE,Disorder,13,2021,2
CORNERSTONE,Disorder,13,2021,3
CORNERSTONE,Disorder,15,2021,4
CORNERSTONE,Disorder,17,2021,5
CORNERSTONE,Disorder,12,2021,6
CORNERSTONE,Disorder,17,2021,7
CORNERSTONE,Disorder,12,2021,8
CORNERSTONE,Disorder,18,2021,9
CORNERSTONE,Disorder,18,2021,10
CORNERSTONE,Disorder,14,2021,11
CORNERSTONE,Disorder,7,2021,12
CORNERSTONE,Disorder,17,2022,1
CORNERSTONE,Disorder,23,2022,2
CORNERSTONE,Disorder,16,2022,3
CORNERSTONE,Disorder,19,2022,4
CORNERSTONE,Disorder,18,2022,5
CORNERSTONE,Disorder,12,2022,6
CORNERSTONE,Disorder,15,2022,7
CORNERSTONE,Disorder,17,2022,8
CORNERSTONE,Disorder,21,2022,9
CORNERSTONE,Disorder,8,2022,10
CORNERSTONE,Disorder,14,2022,11
CORNERSTONE,Disorder,12,2022,12
CORNERSTONE,Disorder,11,2023,1
CORNERSTONE,Disorder,14,2023,2
CORNERSTONE,Disorder,10,2023,3
CORNERSTONE,Disorder,12,2023,4
CORNERSTONE,Disorder,17,2023,5
CORNERSTONE,Disorder,12,2023,6
CORNERSTONE,Disorder,13,2023,7
CORNERSTONE,Disorder,15,2023,8
CORNERSTONE,Disorder,25,2023,9
CORNERSTONE,Disorder,15,2023,10
CORNERSTONE,Disorder,23,2023,11
CORNERSTONE,Disorder,7,2023,12
CORNERSTONE,Disorder,14,2024,1
CORNERSTONE,Disorder,22,2024,2
CORNERSTONE,Disorder,16,2024,3
CORNERSTONE,Disorder,14,2024,4
CORNERSTONE,Disorder,28,2024,5
COUGAR RIDGE,Disorder,3,2018,1
COUGAR RIDGE,Disorder,3,2018,2
COUGAR RIDGE,Disorder,10,2018,3
COUGAR RIDGE,Disorder,12,2018,4
COUGAR RIDGE,Disorder,9,2018,5
COUGAR RIDGE,Disorder,3,2018,6
COUGAR RIDGE,Disorder,3,2018,7
COUGAR RIDGE,Disorder,9,2018,8
COUGAR RIDGE,Disorder,7,2018,9
COUGAR RIDGE,Disorder,11,2018,10
COUGAR RIDGE,Disorder,2,2018,11
COUGAR RIDGE,Disorder,7,2018,12
COUGAR RIDGE,Disorder,3,2019,1
COUGAR RIDGE,Disorder,3,2019,2
COUGAR RIDGE,Disorder,9,2019,3
COUGAR RIDGE,Disorder,10,2019,4
COUGAR RIDGE,Disorder,11,2019,5
COUGAR RIDGE,Disorder,11,2019,6
COUGAR RIDGE,Disorder,3,2019,7
COUGAR RIDGE,Disorder,6,2019,8
COUGAR RIDGE,Disorder,9,2019,9
COUGAR RIDGE,Disorder,7,2019,10
COUGAR RIDGE,Disorder,6,2019,11
COUGAR RIDGE,Disorder,8,2019,12
COUGAR RIDGE,Disorder,3,2020,1
COUGAR RIDGE,Disorder,7,2020,2
COUGAR RIDGE,Disorder,5,2020,3
COUGAR RIDGE,Disorder,7,2020,4
COUGAR RIDGE,Disorder,10,2020,5
COUGAR RIDGE,Disorder,7,2020,6
COUGAR RIDGE,Disorder,19,2020,7
COUGAR RIDGE,Disorder,15,2020,8
COUGAR RIDGE,Disorder,4,2020,9
COUGAR RIDGE,Disorder,6,2020,10
COUGAR RIDGE,Disorder,8,2020,11
COUGAR RIDGE,Disorder,8,2020,12
COUGAR RIDGE,Disorder,11,2021,1
COUGAR RIDGE,Disorder,7,2021,2
COUGAR RIDGE,Disorder,6,2021,3
COUGAR RIDGE,Disorder,10,2021,4
COUGAR RIDGE,Disorder,8,2021,5
COUGAR RIDGE,Disorder,4,2021,6
COUGAR RIDGE,Disorder,9,2021,7
COUGAR RIDGE,Disorder,13,2021,8
COUGAR RIDGE,Disorder,8,2021,9
COUGAR RIDGE,Disorder,9,2021,10
COUGAR RIDGE,Disorder,4,2021,11
COUGAR RIDGE,Disorder,4,2021,12
COUGAR RIDGE,Disorder,9,2022,1
COUGAR RIDGE,Disorder,4,2022,2
COUGAR RIDGE,Disorder,4,2022,3
COUGAR RIDGE,Disorder,8,2022,4
COUGAR RIDGE,Disorder,5,2022,5
COUGAR RIDGE,Disorder,6,2022,6
COUGAR RIDGE,Disorder,5,2022,7
COUGAR RIDGE,Disorder,4,2022,8
COUGAR RIDGE,Disorder,3,2022,9
COUGAR RIDGE,Disorder,2,2022,10
COUGAR RIDGE,Disorder,5,2022,11
COUGAR RIDGE,Disorder,8,2022,12
COUGAR RIDGE,Disorder,2,2023,1
COUGAR RIDGE,Disorder,4,2023,3
COUGAR RIDGE,Disorder,5,2023,4
COUGAR RIDGE,Disorder,8,2023,5
COUGAR RIDGE,Disorder,5,2023,6
COUGAR RIDGE,Disorder,3,2023,7
COUGAR RIDGE,Disorder,4,2023,8
COUGAR RIDGE,Disorder,9,2023,9
COUGAR RIDGE,Disorder,3,2023,10
COUGAR RIDGE,Disorder,8,2023,11
COUGAR RIDGE,Disorder,3,2023,12
COUGAR RIDGE,Disorder,6,2024,1
COUGAR RIDGE,Disorder,7,2024,2
COUGAR RIDGE,Disorder,7,2024,3
COUGAR RIDGE,Disorder,5,2024,4
COUGAR RIDGE,Disorder,3,2024,5
COUNTRY HILLS,Disorder,6,2018,1
COUNTRY HILLS,Disorder,8,2018,2
COUNTRY HILLS,Disorder,10,2018,3
COUNTRY HILLS,Disorder,10,2018,4
COUNTRY HILLS,Disorder,9,2018,5
COUNTRY HILLS,Disorder,9,2018,6
COUNTRY HILLS,Disorder,14,2018,7
COUNTRY HILLS,Disorder,11,2018,8
COUNTRY HILLS,Disorder,14,2018,9
COUNTRY HILLS,Disorder,7,2018,10
COUNTRY HILLS,Disorder,5,2018,11
COUNTRY HILLS,Disorder,1,2018,12
COUNTRY HILLS,Disorder,5,2019,1
COUNTRY HILLS,Disorder,5,2019,2
COUNTRY HILLS,Disorder,4,2019,3
COUNTRY HILLS,Disorder,5,2019,4
COUNTRY HILLS,Disorder,10,2019,5
COUNTRY HILLS,Disorder,6,2019,6
COUNTRY HILLS,Disorder,11,2019,7
COUNTRY HILLS,Disorder,11,2019,8
COUNTRY HILLS,Disorder,9,2019,9
COUNTRY HILLS,Disorder,3,2019,10
COUNTRY HILLS,Disorder,3,2019,11
COUNTRY HILLS,Disorder,5,2019,12
COUNTRY HILLS,Disorder,12,2020,1
COUNTRY HILLS,Disorder,3,2020,2
COUNTRY HILLS,Disorder,7,2020,3
COUNTRY HILLS,Disorder,11,2020,4
COUNTRY HILLS,Disorder,12,2020,5
COUNTRY HILLS,Disorder,14,2020,6
COUNTRY HILLS,Disorder,4,2020,7
COUNTRY HILLS,Disorder,7,2020,8
COUNTRY HILLS,Disorder,9,2020,9
COUNTRY HILLS,Disorder,15,2020,10
COUNTRY HILLS,Disorder,8,2020,11
COUNTRY HILLS,Disorder,5,2020,12
COUNTRY HILLS,Disorder,9,2021,1
COUNTRY HILLS,Disorder,3,2021,2
COUNTRY HILLS,Disorder,7,2021,3
COUNTRY HILLS,Disorder,11,2021,4
COUNTRY HILLS,Disorder,10,2021,5
COUNTRY HILLS,Disorder,4,2021,6
COUNTRY HILLS,Disorder,8,2021,7
COUNTRY HILLS,Disorder,8,2021,8
COUNTRY HILLS,Disorder,6,2021,9
COUNTRY HILLS,Disorder,5,2021,10
COUNTRY HILLS,Disorder,7,2021,11
COUNTRY HILLS,Disorder,7,2021,12
COUNTRY HILLS,Disorder,6,2022,1
COUNTRY HILLS,Disorder,5,2022,2
COUNTRY HILLS,Disorder,8,2022,3
COUNTRY HILLS,Disorder,7,2022,4
COUNTRY HILLS,Disorder,8,2022,5
COUNTRY HILLS,Disorder,15,2022,6
COUNTRY HILLS,Disorder,9,2022,7
COUNTRY HILLS,Disorder,9,2022,8
COUNTRY HILLS,Disorder,4,2022,9
COUNTRY HILLS,Disorder,6,2022,10
COUNTRY HILLS,Disorder,4,2022,11
COUNTRY HILLS,Disorder,4,2022,12
COUNTRY HILLS,Disorder,4,2023,1
COUNTRY HILLS,Disorder,3,2023,2
COUNTRY HILLS,Disorder,5,2023,3
COUNTRY HILLS,Disorder,4,2023,4
COUNTRY HILLS,Disorder,9,2023,5
COUNTRY HILLS,Disorder,7,2023,6
COUNTRY HILLS,Disorder,6,2023,7
COUNTRY HILLS,Disorder,7,2023,8
COUNTRY HILLS,Disorder,6,2023,9
COUNTRY HILLS,Disorder,6,2023,10
COUNTRY HILLS,Disorder,13,2023,11
COUNTRY HILLS,Disorder,5,2023,12
COUNTRY HILLS,Disorder,6,2024,1
COUNTRY HILLS,Disorder,9,2024,2
COUNTRY HILLS,Disorder,6,2024,3
COUNTRY HILLS,Disorder,8,2024,4
COUNTRY HILLS,Disorder,4,2024,5
COUNTRY HILLS VILLAGE,Disorder,14,2018,1
COUNTRY HILLS VILLAGE,Disorder,7,2018,2
COUNTRY HILLS VILLAGE,Disorder,11,2018,3
COUNTRY HILLS VILLAGE,Disorder,11,2018,4
COUNTRY HILLS VILLAGE,Disorder,20,2018,5
COUNTRY HILLS VILLAGE,Disorder,10,2018,6
COUNTRY HILLS VILLAGE,Disorder,17,2018,7
COUNTRY HILLS VILLAGE,Disorder,13,2018,8
COUNTRY HILLS VILLAGE,Disorder,13,2018,9
COUNTRY HILLS VILLAGE,Disorder,12,2018,10
COUNTRY HILLS VILLAGE,Disorder,14,2018,11
COUNTRY HILLS VILLAGE,Disorder,14,2018,12
COUNTRY HILLS VILLAGE,Disorder,26,2019,1
COUNTRY HILLS VILLAGE,Disorder,9,2019,2
COUNTRY HILLS VILLAGE,Disorder,20,2019,3
COUNTRY HILLS VILLAGE,Disorder,18,2019,4
COUNTRY HILLS VILLAGE,Disorder,15,2019,5
COUNTRY HILLS VILLAGE,Disorder,21,2019,6
COUNTRY HILLS VILLAGE,Disorder,12,2019,7
COUNTRY HILLS VILLAGE,Disorder,17,2019,8
COUNTRY HILLS VILLAGE,Disorder,9,2019,9
COUNTRY HILLS VILLAGE,Disorder,20,2019,10
COUNTRY HILLS VILLAGE,Disorder,15,2019,11
COUNTRY HILLS VILLAGE,Disorder,19,2019,12
COUNTRY HILLS VILLAGE,Disorder,18,2020,1
COUNTRY HILLS VILLAGE,Disorder,9,2020,2
COUNTRY HILLS VILLAGE,Disorder,16,2020,3
COUNTRY HILLS VILLAGE,Disorder,12,2020,4
COUNTRY HILLS VILLAGE,Disorder,22,2020,5
COUNTRY HILLS VILLAGE,Disorder,18,2020,6
COUNTRY HILLS VILLAGE,Disorder,20,2020,7
COUNTRY HILLS VILLAGE,Disorder,19,2020,8
COUNTRY HILLS VILLAGE,Disorder,25,2020,9
COUNTRY HILLS VILLAGE,Disorder,17,2020,10
COUNTRY HILLS VILLAGE,Disorder,23,2020,11
COUNTRY HILLS VILLAGE,Disorder,10,2020,12
COUNTRY HILLS VILLAGE,Disorder,10,2021,1
COUNTRY HILLS VILLAGE,Disorder,15,2021,2
COUNTRY HILLS VILLAGE,Disorder,13,2021,3
COUNTRY HILLS VILLAGE,Disorder,12,2021,4
COUNTRY HILLS VILLAGE,Disorder,17,2021,5
COUNTRY HILLS VILLAGE,Disorder,9,2021,6
COUNTRY HILLS VILLAGE,Disorder,16,2021,7
COUNTRY HILLS VILLAGE,Disorder,15,2021,8
COUNTRY HILLS VILLAGE,Disorder,21,2021,9
COUNTRY HILLS VILLAGE,Disorder,21,2021,10
COUNTRY HILLS VILLAGE,Disorder,16,2021,11
COUNTRY HILLS VILLAGE,Disorder,14,2021,12
COUNTRY HILLS VILLAGE,Disorder,10,2022,1
COUNTRY HILLS VILLAGE,Disorder,15,2022,2
COUNTRY HILLS VILLAGE,Disorder,17,2022,3
COUNTRY HILLS VILLAGE,Disorder,12,2022,4
COUNTRY HILLS VILLAGE,Disorder,15,2022,5
COUNTRY HILLS VILLAGE,Disorder,19,2022,6
COUNTRY HILLS VILLAGE,Disorder,11,2022,7
COUNTRY HILLS VILLAGE,Disorder,18,2022,8
COUNTRY HILLS VILLAGE,Disorder,12,2022,9
COUNTRY HILLS VILLAGE,Disorder,16,2022,10
COUNTRY HILLS VILLAGE,Disorder,7,2022,11
COUNTRY HILLS VILLAGE,Disorder,12,2022,12
COUNTRY HILLS VILLAGE,Disorder,16,2023,1
COUNTRY HILLS VILLAGE,Disorder,14,2023,2
COUNTRY HILLS VILLAGE,Disorder,11,2023,3
COUNTRY HILLS VILLAGE,Disorder,12,2023,4
COUNTRY HILLS VILLAGE,Disorder,24,2023,5
COUNTRY HILLS VILLAGE,Disorder,10,2023,6
COUNTRY HILLS VILLAGE,Disorder,12,2023,7
COUNTRY HILLS VILLAGE,Disorder,14,2023,8
COUNTRY HILLS VILLAGE,Disorder,10,2023,9
COUNTRY HILLS VILLAGE,Disorder,15,2023,10
COUNTRY HILLS VILLAGE,Disorder,30,2023,11
COUNTRY HILLS VILLAGE,Disorder,19,2023,12
COUNTRY HILLS VILLAGE,Disorder,20,2024,1
COUNTRY HILLS VILLAGE,Disorder,7,2024,2
COUNTRY HILLS VILLAGE,Disorder,14,2024,3
COUNTRY HILLS VILLAGE,Disorder,14,2024,4
COUNTRY HILLS VILLAGE,Disorder,16,2024,5
COVENTRY HILLS,Disorder,37,2018,1
COVENTRY HILLS,Disorder,34,2018,2
COVENTRY HILLS,Disorder,46,2018,3
COVENTRY HILLS,Disorder,49,2018,4
COVENTRY HILLS,Disorder,53,2018,5
COVENTRY HILLS,Disorder,59,2018,6
COVENTRY HILLS,Disorder,35,2018,7
COVENTRY HILLS,Disorder,44,2018,8
COVENTRY HILLS,Disorder,36,2018,9
COVENTRY HILLS,Disorder,43,2018,10
COVENTRY HILLS,Disorder,24,2018,11
COVENTRY HILLS,Disorder,34,2018,12
COVENTRY HILLS,Disorder,29,2019,1
COVENTRY HILLS,Disorder,30,2019,2
COVENTRY HILLS,Disorder,46,2019,3
COVENTRY HILLS,Disorder,34,2019,4
COVENTRY HILLS,Disorder,40,2019,5
COVENTRY HILLS,Disorder,53,2019,6
COVENTRY HILLS,Disorder,45,2019,7
COVENTRY HILLS,Disorder,41,2019,8
COVENTRY HILLS,Disorder,38,2019,9
COVENTRY HILLS,Disorder,40,2019,10
COVENTRY HILLS,Disorder,33,2019,11
COVENTRY HILLS,Disorder,34,2019,12
COVENTRY HILLS,Disorder,41,2020,1
COVENTRY HILLS,Disorder,26,2020,2
COVENTRY HILLS,Disorder,47,2020,3
COVENTRY HILLS,Disorder,38,2020,4
COVENTRY HILLS,Disorder,48,2020,5
COVENTRY HILLS,Disorder,37,2020,6
COVENTRY HILLS,Disorder,42,2020,7
COVENTRY HILLS,Disorder,39,2020,8
COVENTRY HILLS,Disorder,33,2020,9
COVENTRY HILLS,Disorder,27,2020,10
COVENTRY HILLS,Disorder,23,2020,11
COVENTRY HILLS,Disorder,17,2020,12
COVENTRY HILLS,Disorder,31,2021,1
COVENTRY HILLS,Disorder,16,2021,2
COVENTRY HILLS,Disorder,33,2021,3
COVENTRY HILLS,Disorder,26,2021,4
COVENTRY HILLS,Disorder,32,2021,5
COVENTRY HILLS,Disorder,29,2021,6
COVENTRY HILLS,Disorder,33,2021,7
COVENTRY HILLS,Disorder,41,2021,8
COVENTRY HILLS,Disorder,31,2021,9
COVENTRY HILLS,Disorder,36,2021,10
COVENTRY HILLS,Disorder,34,2021,11
COVENTRY HILLS,Disorder,17,2021,12
COVENTRY HILLS,Disorder,33,2022,1
COVENTRY HILLS,Disorder,24,2022,2
COVENTRY HILLS,Disorder,31,2022,3
COVENTRY HILLS,Disorder,25,2022,4
COVENTRY HILLS,Disorder,33,2022,5
COVENTRY HILLS,Disorder,34,2022,6
COVENTRY HILLS,Disorder,32,2022,7
COVENTRY HILLS,Disorder,41,2022,8
COVENTRY HILLS,Disorder,24,2022,9
COVENTRY HILLS,Disorder,14,2022,10
COVENTRY HILLS,Disorder,11,2022,11
COVENTRY HILLS,Disorder,19,2022,12
COVENTRY HILLS,Disorder,20,2023,1
COVENTRY HILLS,Disorder,21,2023,2
COVENTRY HILLS,Disorder,22,2023,3
COVENTRY HILLS,Disorder,28,2023,4
COVENTRY HILLS,Disorder,39,2023,5
COVENTRY HILLS,Disorder,39,2023,6
COVENTRY HILLS,Disorder,34,2023,7
COVENTRY HILLS,Disorder,37,2023,8
COVENTRY HILLS,Disorder,20,2023,9
COVENTRY HILLS,Disorder,30,2023,10
COVENTRY HILLS,Disorder,25,2023,11
COVENTRY HILLS,Disorder,27,2023,12
COVENTRY HILLS,Disorder,28,2024,1
COVENTRY HILLS,Disorder,32,2024,2
COVENTRY HILLS,Disorder,20,2024,3
COVENTRY HILLS,Disorder,32,2024,4
COVENTRY HILLS,Disorder,17,2024,5
CRANSTON,Disorder,32,2018,1
CRANSTON,Disorder,14,2018,2
CRANSTON,Disorder,27,2018,3
CRANSTON,Disorder,16,2018,4
CRANSTON,Disorder,28,2018,5
CRANSTON,Disorder,41,2018,6
CRANSTON,Disorder,50,2018,7
CRANSTON,Disorder,35,2018,8
CRANSTON,Disorder,27,2018,9
CRANSTON,Disorder,29,2018,10
CRANSTON,Disorder,31,2018,11
CRANSTON,Disorder,28,2018,12
CRANSTON,Disorder,24,2019,1
CRANSTON,Disorder,21,2019,2
CRANSTON,Disorder,23,2019,3
CRANSTON,Disorder,27,2019,4
CRANSTON,Disorder,39,2019,5
CRANSTON,Disorder,39,2019,6
CRANSTON,Disorder,59,2019,7
CRANSTON,Disorder,51,2019,8
CRANSTON,Disorder,42,2019,9
CRANSTON,Disorder,35,2019,10
CRANSTON,Disorder,26,2019,11
CRANSTON,Disorder,15,2019,12
CRANSTON,Disorder,24,2020,1
CRANSTON,Disorder,29,2020,2
CRANSTON,Disorder,27,2020,3
CRANSTON,Disorder,47,2020,4
CRANSTON,Disorder,49,2020,5
CRANSTON,Disorder,52,2020,6
CRANSTON,Disorder,30,2020,7
CRANSTON,Disorder,43,2020,8
CRANSTON,Disorder,37,2020,9
CRANSTON,Disorder,31,2020,10
CRANSTON,Disorder,23,2020,11
CRANSTON,Disorder,26,2020,12
CRANSTON,Disorder,21,2021,1
CRANSTON,Disorder,19,2021,2
CRANSTON,Disorder,39,2021,3
CRANSTON,Disorder,23,2021,4
CRANSTON,Disorder,33,2021,5
CRANSTON,Disorder,41,2021,6
CRANSTON,Disorder,31,2021,7
CRANSTON,Disorder,28,2021,8
CRANSTON,Disorder,44,2021,9
CRANSTON,Disorder,40,2021,10
CRANSTON,Disorder,27,2021,11
CRANSTON,Disorder,16,2021,12
CRANSTON,Disorder,22,2022,1
CRANSTON,Disorder,20,2022,2
CRANSTON,Disorder,25,2022,3
CRANSTON,Disorder,38,2022,4
CRANSTON,Disorder,24,2022,5
CRANSTON,Disorder,28,2022,6
CRANSTON,Disorder,25,2022,7
CRANSTON,Disorder,34,2022,8
CRANSTON,Disorder,23,2022,9
CRANSTON,Disorder,27,2022,10
CRANSTON,Disorder,17,2022,11
CRANSTON,Disorder,21,2022,12
CRANSTON,Disorder,23,2023,1
CRANSTON,Disorder,22,2023,2
CRANSTON,Disorder,15,2023,3
CRANSTON,Disorder,23,2023,4
CRANSTON,Disorder,32,2023,5
CRANSTON,Disorder,33,2023,6
CRANSTON,Disorder,32,2023,7
CRANSTON,Disorder,39,2023,8
CRANSTON,Disorder,32,2023,9
CRANSTON,Disorder,33,2023,10
CRANSTON,Disorder,32,2023,11
CRANSTON,Disorder,32,2023,12
CRANSTON,Disorder,21,2024,1
CRANSTON,Disorder,13,2024,2
CRANSTON,Disorder,20,2024,3
CRANSTON,Disorder,30,2024,4
CRANSTON,Disorder,28,2024,5
CRESCENT HEIGHTS,Disorder,59,2018,1
CRESCENT HEIGHTS,Disorder,47,2018,2
CRESCENT HEIGHTS,Disorder,55,2018,3
CRESCENT HEIGHTS,Disorder,47,2018,4
CRESCENT HEIGHTS,Disorder,70,2018,5
CRESCENT HEIGHTS,Disorder,62,2018,6
CRESCENT HEIGHTS,Disorder,84,2018,7
CRESCENT HEIGHTS,Disorder,93,2018,8
CRESCENT HEIGHTS,Disorder,75,2018,9
CRESCENT HEIGHTS,Disorder,57,2018,10
CRESCENT HEIGHTS,Disorder,52,2018,11
CRESCENT HEIGHTS,Disorder,28,2018,12
CRESCENT HEIGHTS,Disorder,63,2019,1
CRESCENT HEIGHTS,Disorder,26,2019,2
CRESCENT HEIGHTS,Disorder,56,2019,3
CRESCENT HEIGHTS,Disorder,59,2019,4
CRESCENT HEIGHTS,Disorder,65,2019,5
CRESCENT HEIGHTS,Disorder,77,2019,6
CRESCENT HEIGHTS,Disorder,92,2019,7
CRESCENT HEIGHTS,Disorder,86,2019,8
CRESCENT HEIGHTS,Disorder,88,2019,9
CRESCENT HEIGHTS,Disorder,68,2019,10
CRESCENT HEIGHTS,Disorder,56,2019,11
CRESCENT HEIGHTS,Disorder,55,2019,12
CRESCENT HEIGHTS,Disorder,85,2020,1
CRESCENT HEIGHTS,Disorder,56,2020,2
CRESCENT HEIGHTS,Disorder,55,2020,3
CRESCENT HEIGHTS,Disorder,111,2020,4
CRESCENT HEIGHTS,Disorder,111,2020,5
CRESCENT HEIGHTS,Disorder,118,2020,6
CRESCENT HEIGHTS,Disorder,93,2020,7
CRESCENT HEIGHTS,Disorder,73,2020,8
CRESCENT HEIGHTS,Disorder,76,2020,9
CRESCENT HEIGHTS,Disorder,90,2020,10
CRESCENT HEIGHTS,Disorder,91,2020,11
CRESCENT HEIGHTS,Disorder,77,2020,12
CRESCENT HEIGHTS,Disorder,73,2021,1
CRESCENT HEIGHTS,Disorder,49,2021,2
CRESCENT HEIGHTS,Disorder,127,2021,3
CRESCENT HEIGHTS,Disorder,121,2021,4
CRESCENT HEIGHTS,Disorder,87,2021,5
CRESCENT HEIGHTS,Disorder,80,2021,6
CRESCENT HEIGHTS,Disorder,105,2021,7
CRESCENT HEIGHTS,Disorder,118,2021,8
CRESCENT HEIGHTS,Disorder,107,2021,9
CRESCENT HEIGHTS,Disorder,86,2021,10
CRESCENT HEIGHTS,Disorder,95,2021,11
CRESCENT HEIGHTS,Disorder,80,2021,12
CRESCENT HEIGHTS,Disorder,71,2022,1
CRESCENT HEIGHTS,Disorder,65,2022,2
CRESCENT HEIGHTS,Disorder,69,2022,3
CRESCENT HEIGHTS,Disorder,95,2022,4
CRESCENT HEIGHTS,Disorder,105,2022,5
CRESCENT HEIGHTS,Disorder,109,2022,6
CRESCENT HEIGHTS,Disorder,87,2022,7
CRESCENT HEIGHTS,Disorder,104,2022,8
CRESCENT HEIGHTS,Disorder,95,2022,9
CRESCENT HEIGHTS,Disorder,70,2022,10
CRESCENT HEIGHTS,Disorder,56,2022,11
CRESCENT HEIGHTS,Disorder,34,2022,12
CRESCENT HEIGHTS,Disorder,59,2023,1
CRESCENT HEIGHTS,Disorder,58,2023,2
CRESCENT HEIGHTS,Disorder,56,2023,3
CRESCENT HEIGHTS,Disorder,58,2023,4
CRESCENT HEIGHTS,Disorder,65,2023,5
CRESCENT HEIGHTS,Disorder,69,2023,6
CRESCENT HEIGHTS,Disorder,89,2023,7
CRESCENT HEIGHTS,Disorder,87,2023,8
CRESCENT HEIGHTS,Disorder,57,2023,9
CRESCENT HEIGHTS,Disorder,69,2023,10
CRESCENT HEIGHTS,Disorder,53,2023,11
CRESCENT HEIGHTS,Disorder,57,2023,12
CRESCENT HEIGHTS,Disorder,51,2024,1
CRESCENT HEIGHTS,Disorder,51,2024,2
CRESCENT HEIGHTS,Disorder,73,2024,3
CRESCENT HEIGHTS,Disorder,51,2024,4
CRESCENT HEIGHTS,Disorder,70,2024,5
CRESTMONT,Disorder,1,2018,1
CRESTMONT,Disorder,3,2018,2
CRESTMONT,Disorder,3,2018,3
CRESTMONT,Disorder,4,2018,4
CRESTMONT,Disorder,3,2018,5
CRESTMONT,Disorder,1,2018,6
CRESTMONT,Disorder,3,2018,7
CRESTMONT,Disorder,8,2018,8
CRESTMONT,Disorder,4,2018,9
CRESTMONT,Disorder,4,2018,10
CRESTMONT,Disorder,2,2018,11
CRESTMONT,Disorder,2,2018,12
CRESTMONT,Disorder,2,2019,1
CRESTMONT,Disorder,2,2019,3
CRESTMONT,Disorder,4,2019,5
CRESTMONT,Disorder,5,2019,6
CRESTMONT,Disorder,1,2019,7
CRESTMONT,Disorder,5,2019,8
CRESTMONT,Disorder,1,2019,9
CRESTMONT,Disorder,2,2019,10
CRESTMONT,Disorder,6,2019,11
CRESTMONT,Disorder,3,2019,12
CRESTMONT,Disorder,5,2020,1
CRESTMONT,Disorder,3,2020,2
CRESTMONT,Disorder,2,2020,3
CRESTMONT,Disorder,3,2020,4
CRESTMONT,Disorder,3,2020,5
CRESTMONT,Disorder,2,2020,7
CRESTMONT,Disorder,2,2020,8
CRESTMONT,Disorder,2,2020,9
CRESTMONT,Disorder,2,2020,10
CRESTMONT,Disorder,2,2020,11
CRESTMONT,Disorder,1,2020,12
CRESTMONT,Disorder,2,2021,1
CRESTMONT,Disorder,1,2021,2
CRESTMONT,Disorder,2,2021,3
CRESTMONT,Disorder,3,2021,4
CRESTMONT,Disorder,6,2021,5
CRESTMONT,Disorder,8,2021,6
CRESTMONT,Disorder,7,2021,7
CRESTMONT,Disorder,6,2021,8
CRESTMONT,Disorder,5,2021,9
CRESTMONT,Disorder,5,2021,10
CRESTMONT,Disorder,3,2021,11
CRESTMONT,Disorder,3,2021,12
CRESTMONT,Disorder,1,2022,1
CRESTMONT,Disorder,2,2022,3
CRESTMONT,Disorder,1,2022,4
CRESTMONT,Disorder,9,2022,5
CRESTMONT,Disorder,4,2022,6
CRESTMONT,Disorder,5,2022,7
CRESTMONT,Disorder,2,2022,8
CRESTMONT,Disorder,2,2022,9
CRESTMONT,Disorder,1,2022,10
CRESTMONT,Disorder,3,2022,11
CRESTMONT,Disorder,2,2022,12
CRESTMONT,Disorder,4,2023,1
CRESTMONT,Disorder,2,2023,3
CRESTMONT,Disorder,3,2023,4
CRESTMONT,Disorder,1,2023,5
CRESTMONT,Disorder,2,2023,6
CRESTMONT,Disorder,4,2023,7
CRESTMONT,Disorder,5,2023,8
CRESTMONT,Disorder,4,2023,9
CRESTMONT,Disorder,1,2023,10
CRESTMONT,Disorder,4,2023,12
CRESTMONT,Disorder,1,2024,1
CRESTMONT,Disorder,3,2024,2
CRESTMONT,Disorder,4,2024,3
CRESTMONT,Disorder,3,2024,4
CRESTMONT,Disorder,2,2024,5
CURRIE BARRACKS,Disorder,3,2020,10
CURRIE BARRACKS,Disorder,4,2020,11
CURRIE BARRACKS,Disorder,4,2020,12
CURRIE BARRACKS,Disorder,8,2021,1
CURRIE BARRACKS,Disorder,3,2021,2
CURRIE BARRACKS,Disorder,8,2021,3
CURRIE BARRACKS,Disorder,3,2021,4
CURRIE BARRACKS,Disorder,3,2021,5
CURRIE BARRACKS,Disorder,4,2021,6
CURRIE BARRACKS,Disorder,6,2021,7
CURRIE BARRACKS,Disorder,5,2021,8
CURRIE BARRACKS,Disorder,4,2021,9
CURRIE BARRACKS,Disorder,2,2021,10
CURRIE BARRACKS,Disorder,3,2021,11
